# Energie (MeV)	µ/rho (cm²/g)	µen/rho (cm²/g)
1.000000e-03	2.352624e+04	2.351515e+04
1.051025e-03	2.352624e+04	2.351515e+04
1.104654e-03	2.352624e+04	2.351515e+04
1.161020e-03	2.352624e+04	2.351515e+04
1.220261e-03	2.352624e+04	2.351515e+04
1.282526e-03	2.352624e+04	2.351515e+04
1.347967e-03	2.352624e+04	2.351515e+04
1.416748e-03	2.352624e+04	2.351515e+04
1.489038e-03	2.352624e+04	2.351515e+04
1.565017e-03	2.352624e+04	2.351515e+04
1.644872e-03	2.352624e+04	2.351515e+04
1.728802e-03	2.352624e+04	2.351515e+04
1.817015e-03	2.352624e+04	2.351515e+04
1.909729e-03	2.352624e+04	2.351515e+04
2.007174e-03	2.352624e+04	2.351515e+04
2.109591e-03	2.352624e+04	2.351515e+04
2.217234e-03	2.352624e+04	2.351515e+04
2.330369e-03	2.352624e+04	2.351515e+04
2.449277e-03	2.352624e+04	2.351515e+04
2.574252e-03	2.352624e+04	2.351515e+04
2.705605e-03	2.352624e+04	2.351515e+04
2.843659e-03	2.352624e+04	2.351515e+04
2.988758e-03	2.352624e+04	2.351515e+04
3.141261e-03	2.352624e+04	2.351515e+04
3.301545e-03	2.352624e+04	2.351515e+04
3.470007e-03	2.352624e+04	2.351515e+04
3.647066e-03	2.352624e+04	2.351515e+04
3.833159e-03	2.352624e+04	2.351515e+04
4.028748e-03	2.352624e+04	2.351515e+04
4.234316e-03	2.352624e+04	2.351515e+04
4.450374e-03	2.352624e+04	2.351515e+04
4.677456e-03	2.352624e+04	2.351515e+04
4.916125e-03	2.352624e+04	2.351515e+04
5.166972e-03	2.352624e+04	2.351515e+04
5.430619e-03	2.352624e+04	2.351515e+04
5.707719e-03	2.352624e+04	2.351515e+04
5.998957e-03	2.352624e+04	2.351515e+04
6.305057e-03	2.352624e+04	2.351515e+04
6.626775e-03	2.352624e+04	2.351515e+04
6.964909e-03	2.352624e+04	2.351515e+04
7.320296e-03	2.352624e+04	2.351515e+04
7.693817e-03	2.352624e+04	2.351515e+04
8.086397e-03	2.352624e+04	2.351515e+04
8.499009e-03	2.352624e+04	2.351515e+04
8.932674e-03	2.352624e+04	2.351515e+04
9.388468e-03	2.352624e+04	2.351515e+04
9.867518e-03	2.352624e+04	2.351515e+04
1.037101e-02	2.352624e+04	2.351515e+04
